"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2015|01",103458,23502,242205,76357,951837,114596,65335,15901,13786,313718,217461,18957,23260,236455,191992,84612,110611,204406,66477,27781,63050,164647,181026,98196,68345,179289,27575,53374,65790,17578,130581,45750,373729,198035,28583,284852,159732,110471,285681,32557,88515,22418,200972,479643,46849,19556,118106,153857,101684,117065,16784,7036997
"2015|02",94503,22395,223824,72525,868424,103827,58605,14380,12346,291627,202057,18089,20983,214616,178745,77604,102135,186519,60035,25612,56803,151779,163705,92228,63081,166452,25902,49747,59773,16584,120675,42054,336970,184436,26809,262555,146456,102061,262554,30005,82687,20882,190511,438576,42110,18201,106844,141757,93977,107355,15427,6467807
"2015|03",108337,26510,255302,84699,988187,118178,65429,16682,14082,338454,231860,20758,24460,240339,205947,88871,117029,209649,68119,28831,63292,176348,182633,107822,71977,191798,30003,57333,68677,19368,136901,47537,372851,217609,30357,298641,165835,115985,297114,33826,95357,23591,223871,499053,48093,21557,119998,160047,107838,122799,17637,7377471
"2015|04",104594,26985,250880,84701,963526,115111,63572,16728,13853,335271,229101,20231,23815,233398,201959,86951,115659,204482,66368,28291,59988,173750,175986,106177,71684,188583,29662,55823,67232,18909,131563,46274,358029,217529,29606,293308,161630,112646,288663,33313,94381,22452,228151,484579,46748,21667,116607,156510,106710,119220,17444,7220300
"2015|05",106682,27028,255952,86237,980854,117747,64871,16982,14166,342659,235365,21458,24197,241070,206884,88542,117937,210651,66823,28938,62103,175428,178429,107125,72862,190592,30445,56665,67155,19502,134870,47244,366650,228589,30284,300404,163705,115080,296487,34130,96087,22272,243094,491883,46878,22200,120034,159529,110476,121598,17751,7384594
"2015|06",102246,26137,246331,82556,937914,110850,61335,16233,13615,328369,224028,20717,23354,232739,197152,82810,111412,201102,63827,27708,60051,167035,170112,99732,68521,179643,28768,53512,63843,18467,130124,44874,351998,225398,28399,290198,153801,110688,281368,32662,89288,20831,240641,466483,43939,20994,116755,152090,106194,115200,16640,7058684
"2015|07",107040,27322,255626,85578,964245,113151,62378,16200,14171,336552,229676,21515,24084,238474,203266,84901,114360,206695,64884,28420,61984,168772,174948,102270,69958,183094,29533,54954,65440,18391,132294,46881,358600,240311,29531,298726,155402,113058,287916,32808,90118,21759,258531,478213,44605,21396,120898,155110,109444,115892,17471,7256846
"2015|08",110256,27670,258441,87782,974641,113491,61516,16335,14706,339531,229692,21849,24860,237699,206600,85298,114922,206586,65803,28582,61940,168050,177029,102629,70904,182993,29862,55201,66329,18502,132442,48152,360024,256110,30571,302820,156957,113285,290940,32795,90128,22023,279356,481078,44384,21918,121324,156165,110004,115710,17814,7343699
"2015|09",111447,27771,259133,92478,969749,114027,59565,15782,15058,339142,228542,21722,25254,231170,208192,84991,115580,203148,65605,28114,61296,167501,174399,102234,71049,183607,30192,54202,67069,18749,129499,48405,352326,289612,30052,300050,158138,111490,284681,32391,91060,22290,296624,479566,44509,22442,117772,154613,109171,113711,17755,7352925
"2015|10",116889,29375,271234,99582,1006785,118911,61616,16703,15640,354888,237849,22595,26816,236004,220288,89099,121821,210535,67119,29284,62799,177914,182110,108842,74240,192552,32049,56556,70027,20319,133374,50646,364993,314112,30651,312502,164587,115022,293564,33489,96240,23560,317957,499727,47943,23774,122015,162011,114847,118913,19008,7689376
"2015|11",111775,27720,259960,93122,960025,112302,58056,16215,14824,337931,229256,21418,25605,221618,211913,83814,116757,200977,62838,27650,60173,169971,172696,104113,70367,182400,31004,53734,64684,19695,126289,48081,346748,301456,30195,296644,153667,108505,281057,32160,91033,22541,301937,468872,45221,22696,117306,153429,111913,113904,17951,7314218
"2015|12",114533,27708,263474,93142,976502,113223,59110,16776,15132,343886,235086,21617,25924,222730,215890,85174,117984,204878,63079,27823,61363,172010,174708,106008,71212,183367,31942,54354,64607,20681,126794,48403,350470,307541,30613,298359,153478,110299,287290,31886,92006,23579,304293,472095,45325,23418,121156,154500,115312,117020,17920,7415680
"2016|01",115364,27634,263192,91766,974678,112393,59854,17049,15354,344216,233687,21896,26118,217753,215561,84824,116996,204840,62062,27878,61187,171624,173808,104437,71123,180488,32183,53969,63673,20968,127435,47563,346756,307899,30556,296130,149200,110684,284996,31206,91707,23480,299918,472390,44677,23707,121889,154439,116845,117117,18123,7383292
"2016|02",111352,26205,250481,87999,920309,106475,56889,16229,14559,330267,223368,21054,24313,199892,205067,80454,112098,194256,58478,26730,58226,163484,163265,100683,67617,173238,31069,51920,59480,20105,121787,45353,325255,296038,28808,281313,141123,104876,270572,28967,89052,22558,286443,453967,42950,22529,114949,147822,111724,111554,17726,7020928
"2016|03",122500,28939,275031,98942,1005666,116593,62354,17599,16001,363367,245809,23166,26504,207203,227414,88901,123295,214071,63593,29174,63485,183386,177483,112529,73839,194072,34431,56856,64339,22235,133482,49950,353110,339114,31734,307230,155722,114030,297241,30912,99403,25576,321521,500905,48832,24466,125323,162754,125295,122357,20079,7727813
"2016|04",119682,27991,266580,96873,972275,114013,61099,17262,15626,355099,241828,23106,25889,197858,223431,86609,121338,209536,61986,28475,59402,182163,173278,109405,73168,192354,33262,54922,61922,21710,128268,49221,340577,333920,31044,298522,151415,109975,288634,30035,97324,25899,316565,484541,48310,23787,121601,158682,125500,118918,19176,7530056
"2016|05",121856,28399,269539,96897,983152,115466,62863,17885,16103,361117,247871,23552,27020,204438,230287,87165,123522,213178,63623,28790,60481,183962,177292,110374,75228,193500,34068,55631,62612,22217,131816,50248,344905,342123,31506,303577,151257,111479,293428,30274,99160,26495,321927,489618,48314,24303,124951,162378,131419,122229,19375,7658870
