"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","National"
"2018|02",324,107,722,234,2144,342,176,44,22,1355,868,95,109,459,846,269,363,659,301,70,255,508,499,595,223,575,182,168,219,74,322,130,678,390,101,966,364,300,840,112,319,86,628,1481,142,80,269,475,426,424,82,21422
"2018|03",357,118,773,245,2424,357,181,37,30,1417,835,81,119,515,966,363,439,747,332,106,212,576,560,648,254,653,187,171,275,72,321,135,765,466,95,1105,351,340,912,105,426,115,673,1717,188,75,258,527,455,487,85,23651
"2018|04",363,128,797,222,2290,336,188,21,36,1341,658,109,142,524,869,397,374,656,330,87,218,496,556,602,250,653,214,170,303,79,303,125,715,408,92,1048,386,292,961,116,419,80,635,1730,168,96,203,497,425,444,102,22654
"2018|05",366,114,760,245,2295,357,194,35,27,1360,576,102,132,490,860,370,390,746,295,90,209,553,515,633,208,555,185,154,263,87,290,175,764,492,96,1025,411,289,962,92,420,113,608,1831,200,64,270,511,452,463,83,22777
"2018|06",303,115,708,238,2307,365,171,36,27,1304,513,92,112,389,771,347,290,598,288,95,171,452,444,513,160,550,204,116,247,86,252,169,764,425,80,1048,396,258,764,112,328,64,503,1565,137,73,233,446,417,397,91,20534
"2018|07",329,110,737,297,2278,376,203,34,21,1325,530,86,118,495,831,348,312,734,356,142,211,424,494,551,194,513,204,115,296,76,289,157,722,509,86,1081,390,276,841,110,346,82,550,1618,156,67,215,401,391,409,83,21519
"2018|08",456,133,783,273,2500,340,196,46,38,1514,685,106,111,536,865,372,412,756,331,119,153,443,523,546,270,653,228,177,293,72,270,150,751,484,103,1074,438,270,917,103,347,117,700,1759,185,59,245,508,470,466,79,23425
"2018|09",380,123,739,333,2496,390,191,34,42,1315,683,113,161,540,856,376,328,706,335,102,208,487,530,518,220,573,212,158,290,82,294,130,706,452,93,1087,447,279,879,101,358,100,638,1741,143,76,281,446,460,413,80,22725
"2018|10",390,120,786,221,2434,348,183,37,46,1301,524,121,115,519,769,357,319,600,256,79,176,508,533,539,214,573,195,215,236,85,296,138,777,478,87,1155,342,263,911,118,404,123,541,1751,184,60,243,517,408,422,89,22106
"2018|11",319,109,653,225,2059,287,207,17,35,1138,482,106,109,437,716,309,328,537,207,83,171,443,449,455,174,489,168,163,228,75,210,91,627,355,88,964,338,264,718,74,292,79,506,1356,156,62,183,436,353,337,76,18743
