"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2020|02",35601,52798,184686,38470,553006,31981,56614,2241,7494,303095,108875,22412,21001,262428,232404,83930,100720,56931,50480,28804,54387,119026,162104,141550,44330,207389,59598,45374,63105,11009,43590,24764,165139,90238,11558,132806,107868,95182,191487,32621,18556,17958,60744,327530,31639,11253,19328,142526,93111,93633,12081,4865455
"2020|03",39134,57485,199003,43131,596721,34177,59861,2065,8149,323146,115064,24663,22917,289229,251566,89762,107920,63165,54911,31911,59677,128751,173060,153511,47301,233657,65162,49351,69457,12011,46134,26791,181252,97764,12848,143971,115253,101835,205793,35477,20368,19944,65655,348772,34205,12231,20345,150767,106051,99503,13020,5263897
"2020|04",38169,55722,190586,45039,595556,33959,58136,1858,7537,312192,110859,24250,22299,283134,246103,86659,104827,65638,52632,31134,57648,127895,168440,149606,44879,231895,61999,48045,68344,11841,43550,26423,177282,94814,13076,142598,112146,98101,199063,35638,20715,19847,63259,340399,34676,12473,19307,145894,106599,95213,12496,5150450
"2020|05",38668,56723,196930,46120,630968,35640,61055,1953,7829,318929,112379,25447,23256,288648,250807,86112,106059,69241,52958,31459,59602,133264,173977,152667,44611,233647,63009,48525,69421,12065,44839,27065,183775,97567,13624,148367,114101,99611,203410,37387,20958,20402,63299,352576,36826,12714,19498,147518,109508,96890,11873,5293777
"2020|06",36752,55058,193177,44449,620527,35053,59133,2099,7756,306574,105771,24498,22271,278382,234865,80990,100487,65282,49842,29932,58717,127568,166558,146764,42418,218584,60750,46240,67257,11268,42647,25627,178839,92330,12597,141557,108512,94529,196285,36336,20202,19624,59920,341925,34636,11849,18316,140524,102714,91970,11006,5080967
"2020|07",37678,56393,199902,47474,640756,36286,60520,2204,8011,315269,105178,24473,23152,302631,239691,82752,100931,64970,49786,31932,62282,128937,170526,149138,43727,222953,61248,48677,69826,11338,43262,25897,185071,95112,12659,142441,111478,96131,201856,37347,20778,19655,60483,354898,34622,11927,18536,144780,105699,93954,11362,5226589
"2020|08",37878,55897,203955,48403,634697,36676,59720,1908,7891,318355,103544,23819,23836,309478,243043,81651,100109,62419,48802,33069,63873,128735,170225,147375,43555,228355,61437,50267,69337,11252,43020,25917,186034,95961,13069,138754,112314,96085,201705,37416,20948,19515,61558,361150,34879,11912,18143,145304,110615,94642,11796,5250298
"2020|09",36626,54174,203276,47661,606299,36793,56947,2050,7131,311028,98425,22434,22908,309284,237189,78595,96402,57646,46056,32760,63472,125080,164982,142303,42631,226566,59454,49823,66856,10897,41889,25338,180879,95854,13102,131694,108915,93033,194090,36396,19898,19992,60161,357208,33982,11915,16669,141210,113004,92317,11160,5114454
"2020|10",37005,55939,214039,50565,622471,37688,58106,2212,7108,318579,99733,23006,23537,323601,244183,79757,98579,57633,47034,33875,64448,128879,170375,142877,43781,234280,61346,52265,68318,11447,42971,25740,187314,99575,13490,130434,111585,94154,196853,36962,20027,19803,61783,373912,34275,12579,16920,143661,118442,96404,10713,5260263
"2020|11",34723,53600,208682,50170,597086,34526,55465,2004,6797,304476,93085,22177,22741,313929,231740,74565,93708,54757,44554,32411,60840,124620,163163,133777,42008,220369,58309,48679,64364,11096,40873,24192,181776,94573,13369,122432,107900,89477,186411,35099,18993,17142,57402,360061,32384,12464,15350,136678,113037,92168,9969,5020171
