"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2017|08",164982,84298,453192,140363,1565204,152286,123654,22784,23211,733447,386248,47861,48374,460320,609581,176327,228200,236265,132871,46454,112204,323651,358775,287508,170652,363560,113887,121791,127224,41935,188401,79560,513013,278572,43535,445183,277285,231652,513003,54032,120043,46257,251050,874734,86893,36641,147034,339142,181344,233374,32775,12830632
"2017|09",164932,81520,438651,139723,1532122,149762,120796,22250,22270,723519,382966,46438,47101,453378,601752,175189,227545,233323,131297,44580,110800,319937,354502,283374,165785,364069,113145,122031,127633,41529,181509,78249,503460,279431,42560,442545,272786,228895,501273,53658,118534,46888,250710,875455,86568,36582,142747,336402,182199,229352,32361,12664083
"2017|10",172443,84055,448273,145914,1585021,154283,125277,23035,23171,754210,401722,48874,49144,472907,623956,183726,238360,242546,136261,45363,113130,333074,370618,294097,169844,376625,117955,126892,133327,43564,185748,81353,521369,287704,44074,463957,281508,236289,519623,57478,124776,49258,260677,914225,89946,37984,147278,350160,191096,238217,33036,13153423
"2017|11",165276,79748,421501,136761,1507100,144792,120312,21624,22198,716328,389375,46691,47013,454899,592086,175373,227481,233212,129518,43369,108739,316809,354784,279606,160430,354764,112610,120249,125418,41659,177378,77728,495846,270604,42005,443951,266220,226610,497936,55937,119233,46632,248351,865921,85076,36224,140421,333757,183382,228654,31469,12523060
"2017|12",169451,80067,423613,136266,1537863,145280,122128,22063,22078,726871,401491,48289,47646,467592,600925,177615,231139,238168,131853,44039,110626,320806,362288,284163,161025,357110,115017,121039,128770,42379,179113,78616,503100,273927,43238,454185,269481,232191,509624,57316,119376,47314,254702,877228,85479,36998,142608,339246,187143,233776,32242,12734563
"2018|01",169850,79483,419776,135242,1536236,145569,121612,21500,22003,722664,404952,48112,47890,470657,594436,176944,231665,237852,131568,43388,111274,318046,363494,284832,159463,353529,114786,119039,129853,41801,178448,78065,499279,270132,44298,456169,268142,232586,509151,57872,117883,47288,254176,877761,83344,37399,142186,338042,185494,233534,32923,12701688
"2018|02",154816,72323,380144,123194,1394140,131139,111424,19479,19738,659996,374626,44106,44793,432454,535429,162371,211478,219296,121922,39355,102801,289741,333168,260994,143452,326691,104970,107388,118252,37696,162521,70651,451856,244190,41547,419923,245048,210599,463815,54413,108412,43160,233141,802856,74444,34763,130654,307917,171130,213742,30488,11592646
"2018|03",173747,80876,423422,136805,1559606,147274,125821,22334,22018,744305,428015,49456,50670,491024,601098,184019,241859,253026,138642,44857,117271,326678,377136,295885,158842,376974,118173,120868,134141,41708,181803,79367,507671,281435,47152,476246,273399,234326,519101,61475,125665,48922,264641,912154,83874,39379,147633,347568,196563,242316,34385,13091625
"2018|04",170605,78635,406914,131062,1509986,141542,123757,21603,21406,726219,419803,48036,49602,477414,575712,180598,238173,251583,134455,44670,113431,319638,366822,287675,151322,368443,115224,115900,129981,40785,174236,76266,492816,276434,45461,465248,262110,227438,502819,59981,125171,47927,259063,885492,81671,38876,142858,339376,193286,236636,33328,12727489
"2018|05",174146,80580,412086,129566,1538736,143996,126590,21813,21812,742523,429534,49730,51332,491140,579958,184124,245082,262327,136150,46043,116033,325332,372699,292907,152139,370038,117604,116089,130769,41992,178473,77014,503318,282057,45780,474893,265260,231067,516497,61494,129566,47944,264646,900029,82684,39572,146347,347031,196979,243531,33784,12970836
