"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"01/31/2019",5926,2757,12860,4088,50633,5025,4464,654,733,24512,13384,1741,1805,16805,17495,6266,7818,9260,4332,1755,3844,10458,12093,8940,4672,12611,3794,3544,4462,1292,5258,2410,16213,10133,1486,15986,8283,7247,16507,1980,4394,1582,8881,30403,2510,1266,4980,11216,7168,7799,1057,424782
"02/28/2019",5907,2725,12926,4085,50789,5049,4471,641,733,24526,13376,1756,1820,16909,17377,6227,7874,9211,4313,1759,3859,10343,12092,8922,4686,12603,3797,3534,4470,1282,5221,2403,16265,10308,1483,16031,8273,7248,16518,2015,4470,1578,8883,30505,2504,1258,4997,11211,7205,7761,1056,425255
"03/31/2019",5907,2721,13022,4081,50903,5059,4549,619,737,24613,13376,1752,1826,17067,17232,6181,7922,9119,4230,1829,3830,10370,12106,8899,4621,12620,3839,3525,4481,1313,5141,2420,16277,10451,1489,16070,8278,7273,16544,2062,4456,1610,8977,30536,2525,1275,5049,11220,7303,7757,1049,426111
"04/30/2019",5912,2771,13177,4114,50779,5110,4547,621,743,24646,13348,1750,1814,17250,17133,6178,8021,9199,4203,1873,3723,10267,12087,8853,4540,12717,3878,3511,4513,1304,4966,2401,16243,10631,1481,16194,8235,7235,16437,2101,4496,1633,9152,30631,2543,1289,5019,11232,7389,7751,1082,426723
"05/31/2019",5907,2815,13190,4150,50664,5087,4553,610,739,24604,13261,1714,1804,17471,16970,6126,8058,9265,4100,1932,3748,10185,12055,8793,4372,12725,3912,3481,4509,1280,4908,2372,16222,10596,1492,16189,8261,7171,16294,2142,4541,1601,9306,30649,2556,1285,5028,11194,7357,7778,1050,426072
"06/30/2019",5842,2811,13176,4111,50608,5060,4562,596,724,24491,13108,1682,1785,17554,16762,6048,8017,9131,4088,1966,3770,10056,11963,8643,4336,12614,3853,3430,4508,1256,4799,2360,16161,10697,1473,16183,8249,7133,16002,2149,4450,1599,9347,30602,2535,1254,4994,11144,7237,7710,1034,423663
"07/31/2019",5808,2863,13130,4089,50604,5009,4552,596,709,24404,12982,1665,1771,17722,16502,6019,8015,9038,4040,2009,3796,9978,11917,8500,4301,12553,3782,3431,4461,1268,4712,2371,16175,10751,1438,16266,8312,7048,15810,2169,4386,1640,9346,30601,2512,1281,4943,11069,7159,7688,1017,422208
"08/31/2019",5799,2864,13253,4069,50744,5040,4521,597,697,24363,12966,1703,1778,17979,16337,5990,8007,9058,3973,2019,3788,9894,11827,8445,4270,12638,3730,3449,4466,1254,4576,2329,15974,10737,1438,16340,8307,6962,15698,2195,4427,1658,9392,30612,2497,1243,4921,10985,7165,7611,1011,421596
"09/30/2019",5818,2884,13236,4160,51052,5059,4497,590,671,24504,12974,1701,1765,18247,16240,6026,8068,9162,3959,1998,3749,9893,11801,8445,4255,12759,3701,3514,4495,1246,4520,2333,16075,10783,1467,16595,8329,6968,15678,2212,4530,1708,9360,30687,2509,1249,4977,10978,7247,7647,988,423309
"10/31/2019",5864,2915,13165,4145,51253,4969,4461,580,683,24654,12837,1713,1728,18484,15987,5945,8116,9239,3987,2014,3749,9895,11711,8438,4138,12858,3635,3556,4482,1244,4458,2321,16117,10717,1497,16676,8307,6916,15723,2210,4560,1737,9363,30525,2518,1235,4988,10940,7352,7619,975,423199
"11/30/2019",5857,2935,12993,4020,50807,4863,4360,563,669,24075,12685,1704,1646,18517,15633,5739,8018,9258,3916,2032,3766,9782,11591,8351,4000,12742,3549,3523,4438,1242,4278,2240,15997,10577,1514,16595,8220,6867,15468,2222,4475,1738,9253,29862,2487,1205,4922,10756,7370,7504,1004,417828
"12/31/2019",5755,2938,12808,4001,50626,4807,4288,530,650,23697,12417,1662,1622,18595,15441,5574,7971,9106,3844,2035,3737,9644,11391,8255,3874,12678,3530,3511,4450,1246,4195,2222,15838,10455,1539,16493,8032,6744,15176,2189,4312,1719,9199,29545,2430,1153,4914,10590,7349,7445,986,413208
"01/31/2020",5798,2937,12741,4019,50529,4801,4242,534,645,23805,12346,1686,1634,18847,15540,5501,7905,9156,3828,2053,3785,9689,11338,8260,3840,12718,3542,3557,4528,1252,4230,2233,15968,10491,1548,16441,8071,6683,15165,2192,4348,1702,9237,29641,2418,1168,4923,10486,7418,7443,973,413835
"02/29/2020",5789,2975,12742,4036,50525,4871,4144,529,631,23915,12289,1683,1628,19105,15650,5426,7833,9211,3851,2070,3804,9687,11316,8273,3804,12760,3534,3593,4559,1263,4218,2262,16112,10524,1579,16625,8075,6669,15228,2177,4342,1717,9278,29554,2417,1146,4997,10369,7552,7467,957,414761
"03/31/2020",5836,3007,12660,4125,50990,4853,4047,522,618,23854,12280,1704,1623,19278,15589,5337,7777,9288,3865,2103,3804,9698,11245,8257,3773,12852,3537,3596,4558,1258,4107,2262,16125,10584,1597,16693,8101,6640,15141,2181,4378,1714,9246,29646,2432,1138,4977,10262,7637,7437,938,415170
