"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2013|08",54340,17004,142779,26217,739811,67364,49290,10829,18112,149749,105119,13827,6799,151986,72558,34675,39665,50482,34873,9678,52908,81199,107758,58360,34472,49450,17021,35482,37523,3778,103274,28479,328490,86641,11697,130029,94163,48042,172947,17744,39629,18972,65524,334786,15620,1185,56876,72754,13127,65431,4074,3982592
"2013|09",53881,16956,143530,28063,737941,67010,48242,10744,17511,152552,103368,13881,6641,149397,72381,33831,39224,49701,34895,9807,50553,81869,106333,57742,34269,49909,17272,35301,38394,3950,101653,28374,318975,87643,12135,126597,96311,47655,168834,17536,39855,18170,65148,332702,15440,1270,55246,72338,12734,64487,3990,3952241
"2013|10",55748,17864,148171,29324,764643,69092,48827,11257,17647,159159,108478,14436,7060,155315,75038,35632,40981,51437,35329,10482,51648,86813,110637,60478,35576,52349,18373,36705,40902,4304,103622,29581,326946,91673,13018,131879,102112,48757,174180,18285,42470,18416,67774,349264,16602,1389,56352,75779,13296,67828,3935,4106863
"2013|11",52705,16575,139473,27535,720638,65262,46400,10579,16656,150388,105273,13339,6708,149214,71224,33401,39198,49289,33212,9895,49935,82969,105919,57210,34029,49661,17165,34597,38558,3927,97549,28015,310423,88285,12787,125543,97098,45876,165922,17657,40829,17374,64314,329223,15886,1375,54670,72613,12592,64587,3605,3897157
"2013|12",52777,16827,140368,27343,732006,65712,47052,10467,16749,151597,107097,13353,6896,152837,71711,33929,40186,50370,33803,10036,51172,83961,108123,58131,34751,50118,17026,34441,38371,3987,98913,28697,314446,90321,13497,126954,99699,46221,167710,17725,41590,17833,64905,333150,16569,1349,57389,73906,12954,66042,3463,3954530
"2014|01",51811,16717,140540,27364,727986,64659,46569,10276,16175,152219,107439,13007,6887,152744,71003,33157,39888,50468,34024,10075,50722,84934,107427,57856,35030,49831,17156,33063,37629,4028,99576,28801,310766,90111,13649,125631,99937,45414,168119,17508,40756,17453,63678,330108,16581,1214,57753,74539,12896,66027,3520,3934721
"2014|02",47150,15219,130736,25324,666540,58671,41828,9394,14500,141627,98951,12062,6308,138000,65335,30477,36254,46612,31325,9095,45784,80245,98625,52562,32395,45794,15770,30255,34275,3865,92758,27179,281866,82871,12799,116046,91628,40483,154968,16008,38006,15896,57449,303225,15309,1082,52509,69722,11897,61058,3386,3611123
"2014|03",53454,17548,149265,28820,762513,65647,47078,10746,16415,164594,112751,13815,6974,154031,75881,34723,40963,52961,36266,9994,50588,94567,112408,61342,37285,52706,18358,34228,39585,4558,106008,31833,316082,98053,14938,132123,103889,45281,176771,17900,43651,18509,64712,347091,18026,1244,60391,79795,13489,69297,4105,4123252
"2014|04",52019,17219,145444,28509,743215,64076,46085,10483,15765,163401,110567,13603,6726,149285,74947,33591,40152,52232,35249,9646,48312,94254,111496,60063,37762,52371,17499,32824,38268,4506,101468,31727,301948,96411,14708,127804,101590,44044,172923,17685,42756,18237,63046,337806,17706,1312,59184,77441,12984,68140,4059,4022548
"2014|05",52893,17176,148695,29318,755862,64718,46713,10411,16079,167419,114092,13931,6876,153783,77139,34010,40948,54030,35595,9765,49638,95677,116630,60682,38261,53373,17751,32158,38728,4448,103995,32834,306382,98521,15409,130753,102652,44631,176719,18008,43868,18216,64629,341427,17994,1350,60948,78839,13370,70176,4385,4101905
"2014|06",50828,16594,142113,27959,720829,61836,44712,9885,15240,161273,109878,13307,6253,147429,74634,31833,38414,52139,33673,9427,47616,91330,112935,56734,36360,50348,17028,29022,36737,4223,101091,31967,291605,94206,15056,125172,97034,42479,168571,16980,41426,16882,61303,323039,17028,1266,58773,75409,12819,67089,4077,3913861
