"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","National"
"2017|10",1094862,184687,1637233,704787,9027028,1263335,741091,203861,125396,4209972,2510437,304488,443315,2884423,1572189,731213,710068,1009730,1104412,251941,1342890,1371321,2175794,1300790,712357,1381432,229219,476154,683563,259568,1960399,486521,4101576,2301652,176767,2604384,957243,871651,2660748,206501,1104946,216168,1507227,7367554,928114,116501,1869898,1653933,367879,1281135,135586,73523939
"2017|11",1094511,184464,1637252,704574,9020763,1263435,740444,203854,125575,4211966,2510048,304286,443508,2880911,1572000,731038,709523,1009491,1103512,251736,1342536,1370667,2174239,1301076,711708,1380936,229188,476189,684165,259362,1959421,485957,4097952,2301819,176903,2603215,956903,871364,2659643,206426,1105232,216194,1507397,7368772,928347,116374,1869576,1654610,367471,1280461,135428,73502422
"2017|12",1094167,184242,1637273,704354,9014512,1263533,739820,203844,125738,4213745,2509643,304089,443682,2877481,1571823,730848,708989,1009244,1102628,251537,1342175,1370001,2172699,1301322,711071,1380434,229147,476213,684745,259161,1958434,485412,4094413,2301939,177039,2602042,956579,871065,2658544,206362,1105491,216213,1507549,7369806,928553,116249,1869218,1655196,367078,1279785,135285,73480412
"2018|01",1093809,184009,1637300,704115,9007906,1263628,739177,203831,125896,4215430,2509203,303882,443854,2873919,1571642,730635,708435,1008972,1101706,251333,1341783,1369277,2171080,1301549,710404,1379894,229095,476229,685337,258950,1957378,484850,4090729,2302021,177184,2600791,956248,870743,2657379,206301,1105746,216229,1507693,7370769,928750,116118,1868806,1655742,366670,1279068,135146,73456641
"2018|02",1093448,183772,1637332,703865,9001196,1263712,738533,203815,126047,4216965,2508752,303674,444022,2870354,1571462,730408,707880,1008682,1100779,251131,1341376,1368517,2169441,1301751,709728,1379333,229035,476238,685919,258738,1956287,484288,4087023,2302063,177335,2599504,955923,870414,2656184,206245,1105990,216245,1507828,7371667,928933,115985,1868354,1656238,366262,1278335,135016,73432024
"2018|03",1093120,183555,1637369,703632,8995088,1263771,737950,203798,126177,4218224,2508343,303485,444175,2867143,1571298,730193,707380,1008406,1099940,250951,1340995,1367802,2167948,1301915,709110,1378811,228977,476242,686431,258545,1955276,483781,4083665,2302067,177475,2598315,955634,870117,2655081,206195,1106206,216263,1507943,7372459,929090,115863,1867916,1656654,365892,1277663,134906,73409235
"2018|04",1092756,183312,1637419,703369,8988315,1263811,737301,203777,126316,4219481,2507897,303273,444350,2863613,1571112,729947,706830,1008083,1099015,250757,1340561,1366977,2166288,1302080,708418,1378217,228910,476242,686981,258329,1954131,483220,4079938,2302037,177635,2596972,955319,869796,2653833,206139,1106444,216291,1508064,7373354,929259,115728,1867401,1657088,365479,1276912,134792,73383569
"2018|05",1092404,183073,1637479,703111,8981794,1263820,736669,203753,126447,4220564,2507480,303067,444529,2860235,1570928,729705,706304,1007753,1098125,250574,1340131,1366147,2164682,1302226,707740,1377629,228846,476240,687492,258119,1953000,482676,4076331,2301974,177795,2595650,955020,869498,2652600,206082,1106675,216330,1508176,7374278,929420,115598,1866877,1657493,365076,1276181,134688,73358484
"2018|06",1092041,182825,1637555,702842,8975136,1263789,736011,203727,126580,4221549,2507074,302853,444728,2856798,1570729,729454,705768,1007395,1097217,250393,1339676,1365257,2163030,1302367,707032,1377009,228781,476238,687994,257900,1951813,482114,4072610,2301875,177965,2594264,954717,869212,2651301,206018,1106920,216386,1508288,7375336,929589,115463,1866313,1657908,364655,1275428,134588,73332511
"2018|07",1091691,182583,1637643,702583,8968815,1263716,735366,203699,126708,4222376,2506713,302645,444940,2853537,1570526,729213,705260,1007031,1096352,250226,1339228,1364365,2161444,1302497,706339,1376398,228722,476237,688452,257688,1950648,481570,4069019,2301750,178135,2592907,954430,868962,2650021,205949,1107166,216459,1508396,7376497,929757,115334,1865749,1658316,364243,1274702,134497,73307500
